,title,description,originallink,link,pubData
0,"부상 혹은 이적 협상?...<b>황의조</b>, 보르도 훈련 불참했다","<b>황의조</b>가 보르도 훈련에 불참한 가운데, 부상과 이적 협상이 원인으로 추정되고 있다. 보르도 소식을 전하는 &apos;보르도 포에버&apos;에 따르면, <b>황의조</b>는 현지 시각으로 17일 오전 훈련에 불참했다. 매체는 이에 대해 구단에 질문을... ",http://www.fourfourtwo.co.kr/news/articleView.html?idxno=18132,https://sports.news.naver.com/news.nhn?oid=411&aid=0000013880,"Thu, 18 Aug 2022 08:21:00 +0900"
1,보르도 ‘<b>황의조</b> 헐값 이적 없다’…잔류도 검토,프랑스 2부리그로 강등된 지롱댕 드 보르도는 제값을 받아야만 <b>황의조</b>(30) 이적을 허용할 생각이다. 리그1... <b>황의조</b>가 흥미를 보이지 않는 오퍼도 있다”며 전했다. ‘지롱댕포스’는 “보르도는 자체적으로 설정한... ,http://mksports.co.kr/view/2022/729361/,https://sports.news.naver.com/news.nhn?oid=410&aid=0000888575,"Thu, 18 Aug 2022 08:12:00 +0900"
2,풀리지 않는 이적료 문제…<b>황의조</b> 거취 두 달째 안갯속,기사내용 요약 EPL 울버햄튼·노팅엄 이적설…몸값 견해차 좁혀야 새 둥지를 찾는 축구 국가대표 공격수 <b>황의조</b>(30·보르도) 거취가 여전히 안갯속이다. <b>황의조</b>는 소속팀 지롱댕 보르도가 지난 시즌 최하위로 강등돼 새... ,http://www.newsis.com/view/?id=NISX20220817_0001981649&cID=10523&pID=10500,https://sports.news.naver.com/news.nhn?oid=003&aid=0011369126,"Thu, 18 Aug 2022 06:50:00 +0900"
3,"[IS 피플] &quot;우선 순위는 EPL&quot; <b>황의조</b>, 새 팀 찾기가 우선이다","한국 남자 축구대표팀 공격수 <b>황의조</b>(30·지롱댕 보르도)는 잉글랜드 프리미어리그(EPL) 입성만을 원한다. 여러 클럽이 영입 경쟁에 참여했다는 소문이 무성한 가운데, <b>황의조</b>의 새 소속팀에 관심이 쏠리고 있다. 프랑스... ",https://isplus.com/2022/08/18/sports/football/20220818063005526.html,https://sports.news.naver.com/news.nhn?oid=241&aid=0003225462,"Thu, 18 Aug 2022 06:30:00 +0900"
4,"“<b>황의조</b>, 올림피아코스행 거절 놀랄 일 아냐…유럽에서 더 증명해야”","<b>황의조</b>(30, 보르도)의 프리미어리그 직행은 이뤄질 수 있을까. 프랑스 매체 ‘레퀴프’는 17일 “노팅엄 포레스트가 <b>황의조</b>를 영입한 뒤 그리스팀 올림피아코스에 임대를 보내는 시나리오를 보르도에 제의했지만... ",http://www.osen.co.kr/article/G1111921441,https://sports.news.naver.com/news.nhn?oid=109&aid=0004680383,"Thu, 18 Aug 2022 06:03:00 +0900"
5,"&apos;<b>황의조</b>, 좋은 선수지만 EPL 검증 필요&apos;…올림피아코스 임대는 거부",보르도를 떠나는 것이 유력한 <b>황의조</b>의 이적 협상이 길어지고 있다. 프랑스 매체 레퀴프는 17일(한국시간) &apos;<b>황의조</b>는 노팅엄 포레스트가 자신을 영입한 후 올림피아코스로 임대보내는 것에 대해 흥미가 없다&apos;고 전했다.... ,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208180028305299&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://sports.news.naver.com/news.nhn?oid=117&aid=0003636686,"Thu, 18 Aug 2022 05:12:00 +0900"
6,"&quot;꾸준한 <b>황의조</b>, 스트라이커 필요한 울브스&quot;...&apos;TWO 황&apos; 뭉칠까",<b>황의조</b>가 영국 현지에서 꾸준히 주목받고 있다. 영국 &apos;버밍엄 메일&apos;은 18일(한국시간) &quot;울버햄튼은 보르도 스트라이커 <b>황의조</b>를 추적하고 있는 것으로 알려졌다. 그는 지난 2019년 감바 오사카를 떠나 보르도에 합류한 다음... ,http://www.interfootball.co.kr/news/articleView.html?idxno=579747,https://sports.news.naver.com/news.nhn?oid=413&aid=0000144807,"Thu, 18 Aug 2022 04:31:00 +0900"
7,"‘째깍째깍’ EPL만 바라보는 <b>황의조</b>, 빠른 이적 절실",러브콜이 쏟아졌지만 <b>황의조</b>(30·보르도)는 잉글랜드 프리미어리그(EPL)만 바라보고 있다. 17일(한국시각) 프랑스 매체 레퀴프는 &quot;<b>황의조</b> 이적 문제가 여전히 해결되지 않고 있다&quot;고 보도했다. 재정난 속에 2부리그로... ,https://www.dailian.co.kr/news/view/1143655/?sc=Naver,https://sports.news.naver.com/news.nhn?oid=119&aid=0002631125,"Wed, 17 Aug 2022 23:27:00 +0900"
8,‘경유의 수’는 없다 …‘EPL 직행’ 원하는 <b>황의조</b>,국가대표 골잡이 <b>황의조</b>(30·보르도·사진)가 경유가 아닌 직행을 원한다. 비행기 탑승권이 아닌 이적 얘기다. 올여름 프랑스를 떠나고 싶은 <b>황의조</b>가 그리스 임대를 거절하면서 거취 문제가 안갯속에 빠졌다. 프랑스일간... ,https://www.khan.co.kr/sports/football/article/202208172222025,https://sports.news.naver.com/news.nhn?oid=032&aid=0003167240,"Wed, 17 Aug 2022 22:23:00 +0900"
9,"“임영웅, 믿었더니…” 수익 ‘어마어마’ 난리난 이곳","쿠팡플레이는 축구선수 손흥민, 이강인, <b>황의조</b> 등의 소속팀 경기를 생중계 중이다. 지난 7월 토트넘과 K리그 올스타 경기는 UV(순 이용자수)가 184만명을 기록한 것으로 알려졌다. 웨이브도 지난 10일부터 14일까지 열린... ",http://news.heraldcorp.com/view.php?ud=20220817000855,https://n.news.naver.com/mnews/article/016/0002029705?sid=105,"Wed, 17 Aug 2022 20:52:00 +0900"
